Date,Portfolio Value
2017-01-30,51073.00224304199
2017-01-31,51154.66865539551
2017-02-01,51195.797271728516
2017-02-02,51243.18893432617
2017-02-03,51490.65711975098
2017-02-06,51546.13807678223
2017-02-07,51580.5574798584
2017-02-08,51688.71391296387
2017-02-09,51835.7664489746
2017-02-10,51998.05450439453
2017-02-13,52158.88374328613
2017-02-14,52296.37664794922
2017-02-15,52523.77067565918
2017-02-16,52540.15907287598
2017-02-17,52625.26069641113
2017-02-21,52852.20016479492
2017-02-22,52838.02589416504
2017-02-23,52873.17909240723
2017-02-24,52998.51608276367
2017-02-27,53018.84925842285
2017-02-28,52898.916473388665
2017-03-01,53378.808288574226
2017-03-02,53050.41259765625
2017-03-03,53091.049728393555
2017-03-06,52926.925048828125
2017-03-07,52758.41270446777
2017-03-08,52658.173217773445
2017-03-09,52643.90037536621
2017-03-10,52817.79151916504
2017-03-13,52838.038024902344
2017-03-14,52669.67567443847
2017-03-15,53144.20013427735
2017-03-16,53098.42704772949
2017-03-17,53081.05346679687
2017-03-20,53085.69381713867
2017-03-21,52608.722229003906
2017-03-22,52759.38529968262
2017-03-23,52698.204498291016
2017-03-24,52712.4169921875
2017-03-27,52745.54168701172
2017-03-28,52979.92980957031
2017-03-29,53091.01036071777
2017-03-30,53152.60513305664
2017-03-31,53098.97384643555
2017-04-03,53092.484130859375
2017-04-04,53131.20880126953
2017-04-05,52998.32046508789
2017-04-06,53070.962905883796
2017-04-07,53035.51856994629
2017-04-10,53070.35842895508
2017-04-11,53110.37399291992
2017-04-12,52992.030334472656
2017-04-13,52797.61329650879
2017-04-17,53115.35583496094
2017-04-18,53074.99900817871
2017-04-19,52977.63732910156
2017-04-20,53303.17428588867
2017-04-21,53225.040435791016
2017-04-24,53616.56440734863
2017-04-25,53783.67729187012
2017-04-26,53795.54740905762
2017-04-27,53866.078033447266
2017-04-28,53834.477310180664
2017-05-01,53933.37692260742
2017-05-02,53970.25917053223
2017-05-03,53797.01789855957
2017-05-04,53764.264068603516
2017-05-05,53946.187896728516
2017-05-08,53924.723205566406
2017-05-09,53900.0284576416
2017-05-10,53962.83058166504
2017-05-11,53912.66067504883
2017-05-12,53921.147918701165
2017-05-15,54133.41751098633
2017-05-16,54185.38299560547
2017-05-17,53524.4694519043
2017-05-18,53668.73580932617
2017-05-19,53947.294845581055
2017-05-22,54208.36067199707
2017-05-23,54227.52815246582
2017-05-24,54391.1417388916
2017-05-25,54614.05944824219
2017-05-26,54683.641204833984
2017-05-30,54649.91287231445
2017-05-31,54665.50704956055
2017-06-01,54969.39994812012
2017-06-02,55262.42317199707
2017-06-05,55226.24900817871
2017-06-06,55173.2706451416
2017-06-07,55222.6188659668
2017-06-08,55215.899963378906
2017-06-09,54844.18014526367
2017-06-12,54771.057205200195
2017-06-13,55015.03860473633
2017-06-14,54922.81814575195
2017-06-15,54780.51399230957
2017-06-16,54742.73880004883
2017-06-19,55115.36720275879
2017-06-20,54820.60485839844
2017-06-21,54928.803634643555
2017-06-22,54942.875442504876
2017-06-23,55060.3702545166
2017-06-26,54986.269302368164
2017-06-27,54539.96223449707
2017-06-28,54973.70552062988
2017-06-29,54481.72317504883
2017-06-30,54517.397232055664
2017-07-03,54371.44226074219
2017-07-05,54558.214263916016
2017-07-06,54155.66207885742
2017-07-07,54407.97172546387
2017-07-10,54518.6604309082
2017-07-11,54544.95056152344
2017-07-12,54935.09567260742
2017-07-13,54996.47392272949
2017-07-14,55273.290100097656
2017-07-17,55312.085876464844
2017-07-18,55459.75028991699
2017-07-19,55695.157852172844
2017-07-20,55737.89604187011
2017-07-21,55760.25695800781
2017-07-24,55804.413146972656
2017-07-25,55813.457870483406
2017-07-26,55909.13360595703
2017-07-27,55789.623794555664
2017-07-28,55797.76336669922
2017-07-31,55736.20292663574
2017-08-01,55854.87319946289
2017-08-02,55868.218688964844
2017-08-03,55786.81007385254
2017-08-04,55807.621154785156
2017-08-07,55931.535415649414
2017-08-08,55839.6614074707
2017-08-09,55891.55464172363
2017-08-10,55265.937271118164
2017-08-11,55431.35986328125
2017-08-14,55830.68290710449
2017-08-15,55766.29928588867
2017-08-16,55896.09580993652
2017-08-17,55226.786041259766
2017-08-18,55156.61018371581
2017-08-21,55200.30601501465
2017-08-22,55644.16175842285
2017-08-23,55544.6891784668
2017-08-24,55417.75573730469
2017-08-25,55499.851303100586
2017-08-28,55639.00428771973
2017-08-29,55704.29817199707
2017-08-30,55979.47090148926
2017-08-31,56371.66534423828
2017-09-01,56409.068603515625
2017-09-05,56180.46318054199
2017-09-06,56268.54667663574
2017-09-07,56376.96350097656
2017-09-08,56233.36357116699
2017-09-11,56581.2678527832
2017-09-12,56726.351470947266
2017-09-13,56699.80583190918
2017-09-14,56656.98181152344
2017-09-15,56712.134857177734
2017-09-18,56704.1658782959
2017-09-19,56757.022705078125
2017-09-20,56690.80261230469
2017-09-21,56488.03146362305
2017-09-22,56525.306243896484
2017-09-25,56430.552215576165
2017-09-26,56400.77575683594
2017-09-27,56556.78855895996
2017-09-28,56609.04800415039
2017-09-29,56766.90361022949
2017-10-02,56881.83952331543
2017-10-03,56979.53804016113
2017-10-04,57043.53355407715
2017-10-05,57298.710021972656
2017-10-06,57301.58752441406
2017-10-09,57288.576583862305
2017-10-10,57399.448165893555
2017-10-11,57504.97032165527
2017-10-12,57450.30937194824
2017-10-13,57590.59028625488
2017-10-16,57615.97412109375
2017-10-17,57609.69497680664
2017-10-18,57596.21109008789
2017-10-19,57602.813873291016
2017-10-20,57746.50917053223
2017-10-23,57557.902755737305
2017-10-24,57597.65419006348
2017-10-25,57384.75662231445
2017-10-26,57331.132736206055
2017-10-27,57966.34956359863
2017-10-30,57891.80374145508
2017-10-31,57963.37944030761
2017-11-01,58024.844665527344
2017-11-02,58025.458068847656
2017-11-03,58216.40464782715
2017-11-06,58367.34336853027
2017-11-07,58321.168899536126
2017-11-08,58439.13604736328
2017-11-09,58271.00044250488
2017-11-10,58184.15771484375
2017-11-13,58234.905014038086
2017-11-14,58143.133239746094
2017-11-15,57932.82890319824
2017-11-16,58354.07859802246
2017-11-17,58303.91799926758
2017-11-20,58277.81089782715
2017-11-21,58640.35194396973
2017-11-22,58698.56857299805
2017-11-24,58801.04545593262
2017-11-27,58796.12159729004
2017-11-28,59160.30830383301
2017-11-29,58882.89825439453
2017-11-30,59204.75700378418
2017-12-01,59130.44250488281
2017-12-04,58934.26338195801
2017-12-05,58779.64126586914
2017-12-06,58825.763092041016
2017-12-07,58890.70213317871
2017-12-08,59120.29197692871
2017-12-11,59276.88674926758
2017-12-12,59319.91729736328
2017-12-13,59413.960876464844
2017-12-14,59251.02378845215
2017-12-15,59687.20375061035
2017-12-18,60025.41534423828
2017-12-19,59801.0563659668
2017-12-20,59776.20681762695
2017-12-21,59863.84941101074
2017-12-22,59875.34049987793
2017-12-26,59823.257904052734
2017-12-27,59886.48780822754
2017-12-28,59999.13146972656
2017-12-29,59848.927001953125
2018-01-02,60353.397521972656
2018-01-03,60672.41882324219
2018-01-04,60863.76167297363
2018-01-05,61192.50671386719
2018-01-08,61309.29237365723
2018-01-09,61333.56285095215
2018-01-10,61266.4958190918
2018-01-11,61640.50498962402
2018-01-12,62029.932861328125
2018-01-16,61877.35237121582
2018-01-17,62286.58630371094
2018-01-18,62198.93325805664
2018-01-19,62420.29220581055
2018-01-22,62851.08039855957
2018-01-23,63088.538970947266
2018-01-24,63053.63136291504
2018-01-25,63041.89895629883
2018-01-26,63636.11770629883
2018-01-29,63284.48471069336
2018-01-30,62760.70571899414
2018-01-31,62874.34608459473
2018-02-01,62732.56034851074
2018-02-02,61592.11013793945
