Date,Historical Loss
2019-03-25,-13.142145243793125
2019-03-26,-936.0807875420957
2019-03-27,875.0456328454463
2019-03-28,-283.2031923415233
2019-03-29,-1020.5316252182538
2019-04-01,-1689.4562571227584
2019-04-02,-270.11983301098894
2019-04-03,-383.87595505280797
2019-04-04,-329.3180176962677
2019-04-05,-758.6945859199662
2019-04-08,-250.1506677610631
2019-04-09,620.3708570163344
2019-04-10,-732.8124603003249
2019-04-11,394.50640146548847
2019-04-12,-871.1828002090873
2019-04-15,99.74183380258164
2019-04-16,-3.5067810572970464
2019-04-17,205.27298813971078
2019-04-18,-301.02276350338184
2019-04-22,-171.4669539157988
2019-04-23,-1578.2001753473737
2019-04-24,239.97857966821488
2019-04-25,-74.48688637349095
2019-04-26,-750.5070354505076
2019-04-29,-127.26199363011978
2019-04-30,199.24772540641365
2019-05-01,1087.3422655117079
2019-05-02,524.6183638868808
2019-05-03,-1945.3456007620773
2019-05-06,634.4215124406302
2019-05-07,2612.377025866627
2019-05-08,329.8500416678262
2019-05-09,502.13361052874035
2019-05-10,-627.7097521964495
2019-05-13,4018.8853121492766
2019-05-14,-1436.2819769300306
2019-05-15,-1259.5424101165156
2019-05-16,-1272.3862694712254
2019-05-17,1287.170108242572
2019-05-20,1484.7007315902608
2019-05-21,-1407.0586379022732
2019-05-22,520.1918168993394
2019-05-23,1788.737002622382
2019-05-24,-256.4300747243437
2019-05-28,1191.2334979221016
2019-05-29,1085.7315123196238
2019-05-30,-637.0935715144675
2019-05-31,1790.0597104214337
2019-06-03,814.8174303654469
2019-06-04,-3510.2387914748347
2019-06-05,-1272.9347956886654
2019-06-06,-1066.451588895542
2019-06-07,-2029.6605321774568
2019-06-10,-785.5536456865132
2019-06-11,34.646854020264556
2019-06-12,284.39000077472315
2019-06-13,-871.427943255439
2019-06-14,337.28244315009533
2019-06-17,-289.2767760508967
2019-06-18,-1923.7606022325242
2019-06-19,-637.268555316255
2019-06-20,-1932.9082554550876
2019-06-21,106.76850312387299
2019-06-24,-35.615635723049074
2019-06-25,1735.7800685275345
2019-06-26,181.60347899287228
2019-06-27,-683.0487174116236
2019-06-28,-756.9130982467311
2019-07-01,-1117.5454496697814
2019-07-02,-885.1724418559756
2019-07-03,-1253.5070994375185
2019-07-05,508.88984888706887
2019-07-08,1019.8837431282199
2019-07-09,-398.9687561498197
2019-07-10,-1233.7063637661072
2019-07-11,37.69601719600692
2019-07-12,-895.473566474252
2019-07-15,-168.8608036979976
2019-07-16,737.6328889402929
2019-07-17,578.3549679320528
2019-07-18,-762.974514269763
2019-07-19,1230.8322433176986
2019-07-22,-620.8558460191921
2019-07-23,-921.6575951068248
2019-07-24,-981.3815537323305
2019-07-25,1102.205421909198
2019-07-26,-1222.0518074665172
2019-07-29,227.9347391443713
2019-07-30,343.27449999292753
2019-07-31,2008.5841236724918
2019-08-01,574.1534498224659
2019-08-02,1510.0139578143983
2019-08-05,4380.341415166721
2019-08-06,-2290.981351362198
2019-08-07,-606.3615810334762
2019-08-08,-3133.0000031896807
2019-08-09,1251.5703686410761
2019-08-12,1510.4993972971831
2019-08-13,-2386.1600542156216
2019-08-14,4218.817975040823
2019-08-15,-468.16773759902566
2019-08-16,-2108.4978676852015
2019-08-19,-1641.2126834205071
2019-08-20,938.5741808326437
2019-08-21,-1186.5838975853032
2019-08-22,281.41771050029274
2019-08-23,3612.7106413239
2019-08-26,-1769.3177868846315
2019-08-27,257.51581694513294
2019-08-28,-861.9139308400048
2019-08-29,-1864.7405550471365
2019-08-30,197.86386719874025
2019-09-03,752.06101424816
2019-09-04,-1973.9644640054564
2019-09-05,-1548.157081520985
2019-09-06,119.09207288102797
2019-09-09,208.81912884592765
2019-09-10,389.685234102385
2019-09-11,-1311.1327780313159
2019-09-12,-533.8463688332233
2019-09-13,525.100609259067
2019-09-16,265.2754489060045
2019-09-17,-564.1810222038257
2019-09-18,83.9223864910437
2019-09-19,-152.9007777403897
2019-09-20,630.7895945320981
2019-09-23,-146.7060542368038
2019-09-24,1270.2773543820542
2019-09-25,-632.2363958825467
2019-09-26,380.242015840703
2019-09-27,1197.3390374933103
2019-09-30,-605.5413681462576
2019-10-01,1556.4185581213612
2019-10-02,2310.440277997607
2019-10-03,-1509.8360803206783
2019-10-04,-2102.9777985061673
2019-10-07,815.2491190669505
2019-10-08,2152.3437860553245
2019-10-09,-1414.9054144588279
2019-10-10,-795.5755429912881
2019-10-11,-1481.2163308747088
2019-10-14,3.1307976292307367
2019-10-15,-1411.293762267704
2019-10-16,151.667145350622
2019-10-17,-473.7138810845113
