Date,Daily PnL
2022-02-11,-1873.5775756835938
2022-02-14,-172.50137329101562
2022-02-15,1571.6029357910156
2022-02-16,158.19793701171875
2022-02-17,-2017.8227233886719
2022-02-18,-714.4059753417969
2022-02-22,-904.9496459960938
2022-02-23,-1730.5107116699219
2022-02-24,1735.2413940429688
2022-02-25,1684.993896484375
2022-02-28,108.22952270507812
2022-03-01,-1123.8374328613281
2022-03-02,1339.6742248535156
2022-03-03,-643.0001831054688
2022-03-04,-730.8003234863281
2022-03-07,-2639.5797729492188
2022-03-08,-301.6978454589844
2022-03-09,2141.0577392578125
2022-03-10,-568.7019348144531
2022-03-11,-1362.07763671875
2022-03-14,-1166.6224670410156
2022-03-15,1852.5051879882812
2022-03-16,2357.5222778320312
2022-03-17,1133.0581665039062
2022-03-18,1167.2280883789062
2022-03-21,-122.71469116210938
2022-03-22,1173.7503051757812
2022-03-23,-1048.3261108398438
2022-03-24,1566.6816711425781
2022-03-25,156.27471923828125
2022-03-28,720.4536437988281
2022-03-29,1356.8989562988281
2022-03-30,-657.9292297363281
2022-03-31,-1306.8806457519531
2022-04-01,68.74267578125
2022-04-04,1160.8563232421875
2022-04-05,-1608.8993835449219
2022-04-06,-1261.7202758789062
2022-04-07,367.1791076660156
2022-04-08,-545.5169677734375
2022-04-11,-1655.5630493164062
2022-04-12,-227.6397705078125
2022-04-13,1309.7158813476562
2022-04-14,-1454.2977905273438
2022-04-18,7.515869140625
2022-04-19,1396.4642333984375
2022-04-20,-354.7660827636719
2022-04-21,-1563.0868530273438
2022-04-22,-2423.6245727539062
2022-04-25,545.9486389160156
2022-04-26,-2626.5748596191406
2022-04-27,23.56903076171875
2022-04-28,2348.7832641601562
2022-04-29,-3366.0267639160156
2022-05-02,569.2047119140625
2022-05-03,331.4988708496094
2022-05-04,2693.6624145507812
2022-05-05,-3519.2649841308594
2022-05-06,-685.7209777832031
2022-05-09,-2895.9901428222656
2022-05-10,351.9764709472656
2022-05-11,-1501.3784790039062
2022-05-12,-191.52664184570312
2022-05-13,2071.902618408203
2022-05-16,-417.4378967285156
2022-05-17,1640.4876708984375
2022-05-18,-3363.868408203125
2022-05-19,-280.6109619140625
2022-05-20,-24.0948486328125
2022-05-23,1356.9380187988281
2022-05-24,-811.1587524414062
2022-05-25,807.1095275878906
2022-05-26,1698.75
2022-05-27,2163.4075927734375
2022-05-31,-560.1097106933594
2022-06-01,-589.3919372558594
2022-06-02,1856.6816711425781
2022-06-03,-1666.9410705566406
2022-06-06,164.1302490234375
2022-06-07,852.2737121582031
2022-06-08,-839.0531921386719
2022-06-09,-2021.6946411132812
2022-06-10,-2379.579620361328
2022-06-13,-3476.5167236328125
2022-06-14,-222.40493774414062
2022-06-15,1468.2241821289062
2022-06-16,-2521.825408935547
2022-06-17,323.38104248046875
2022-06-21,1722.5843811035156
2022-06-22,-1.238555908203125
2022-06-23,803.8719177246094
2022-06-24,2398.0328369140625
2022-06-27,-408.031005859375
2022-06-28,-1799.2266845703125
2022-06-29,2.12615966796875
2022-06-30,-725.2809143066406
2022-07-01,747.6751708984375
2022-07-05,338.2875061035156
2022-07-06,119.58847045898438
2022-07-07,1277.9168701171875
2022-07-08,-41.13433837890625
2022-07-11,-1136.9578552246094
2022-07-12,-698.5099792480469
2022-07-13,-242.6171875
2022-07-14,-217.67852783203125
2022-07-15,1414.866943359375
2022-07-18,-624.0087890625
2022-07-19,2140.096435546875
2022-07-20,659.1871643066406
2022-07-21,1063.8433837890625
2022-07-22,-871.2113952636719
2022-07-25,-117.12890625
2022-07-26,-1120.093994140625
2022-07-27,2474.1162109375
2022-07-28,1087.9148864746094
2022-07-29,1254.6385192871094
2022-08-01,-89.8822021484375
2022-08-02,-555.546875
2022-08-03,1613.7742614746094
2022-08-04,230.26748657226562
2022-08-05,-464.4923400878906
2022-08-08,-4.857940673828125
2022-08-09,-542.6248168945312
2022-08-10,1911.6557312011719
2022-08-11,-210.70144653320312
2022-08-12,1591.2089538574219
2022-08-15,347.12890625
2022-08-16,32.873687744140625
2022-08-17,-850.7783508300781
2022-08-18,220.06622314453125
2022-08-19,-1417.8103637695312
2022-08-22,-1971.8927001953125
2022-08-23,-94.91485595703125
2022-08-24,274.2454528808594
2022-08-25,1312.5242614746094
2022-08-26,-3080.946502685547
2022-08-29,-648.0267333984375
2022-08-30,-936.2651062011719
2022-08-31,-643.4255981445312
2022-09-01,25.416259765625
2022-09-02,-804.5738220214844
2022-09-06,-490.826416015625
2022-09-07,1571.8234252929688
2022-09-08,429.69329833984375
2022-09-09,1425.5291748046875
2022-09-12,917.3954772949219
2022-09-13,-3923.1166076660156
2022-09-14,368.5638427734375
2022-09-15,-1160.5485534667969
2022-09-16,-538.7728881835938
2022-09-19,578.6283874511719
2022-09-20,-882.2787475585938
2022-09-21,-1266.624755859375
2022-09-22,-839.259033203125
2022-09-23,-1385.2680969238281
2022-09-26,-793.92333984375
2022-09-27,-120.07888793945312
2022-09-28,1707.9550170898438
2022-09-29,-1738.0451965332031
2022-09-30,-1122.9081726074219
2022-10-03,2028.3193969726562
2022-10-04,2391.260986328125
2022-10-05,-210.79116821289062
2022-10-06,-735.9664916992188
2022-10-07,-2409.8451232910156
2022-10-10,-751.6545104980469
2022-10-11,-616.2525939941406
2022-10-12,-111.28936767578125
2022-10-13,1677.2846984863281
2022-10-14,-1928.0252075195312
2022-10-17,1995.1554870605469
2022-10-18,802.4119567871094
2022-10-19,-627.7230834960938
2022-10-20,-600.2703857421875
2022-10-21,1846.9168090820312
2022-10-24,809.9420166015625
2022-10-25,1406.436767578125
2022-10-26,-790.3630065917969
2022-10-27,-639.7981262207031
2022-10-28,1799.0660095214844
2022-10-31,-716.5328979492188
2022-11-01,-349.0306091308594
2022-11-02,-2156.0189819335938
2022-11-03,-984.6083068847656
2022-11-04,1276.1247253417969
2022-11-07,657.6815795898438
2022-11-08,645.8114624023438
2022-11-09,-1617.8343200683594
2022-11-10,4777.6947021484375
2022-11-11,997.6414489746094
2022-11-14,-680.6828308105469
2022-11-15,883.2339477539062
2022-11-16,-748.2720947265625
2022-11-17,-327.041015625
2022-11-18,181.43829345703125
2022-11-21,-483.4822082519531
2022-11-22,1092.8053283691406
2022-11-23,665.5326843261719
2022-11-25,-137.35076904296875
2022-11-28,-1293.7139892578125
2022-11-29,-247.10006713867188
2022-11-30,2869.627227783203
2022-12-01,225.3997802734375
2022-12-02,-149.71923828125
2022-12-05,-1628.2279968261719
2022-12-06,-1222.7809143066406
2022-12-07,-38.8134765625
2022-12-08,682.8413391113281
2022-12-09,-581.1422729492188
2022-12-12,989.322509765625
2022-12-13,849.2910766601562
2022-12-14,-509.1276550292969
2022-12-15,-2241.0372924804688
2022-12-16,-782.9533386230469
2022-12-19,-848.0271911621094
2022-12-20,154.627685546875
2022-12-21,1101.5095520019531
2022-12-22,-1389.5393371582031
2022-12-23,347.39013671875
2022-12-27,-498.32794189453125
2022-12-28,-980.7077026367188
2022-12-29,1518.0252075195312
2022-12-30,-143.51959228515625
2023-01-03,-250.69259643554688
2023-01-04,648.9773559570312
2023-01-05,-1054.0821838378906
2023-01-06,2001.99462890625
2023-01-09,162.97683715820312
2023-01-10,572.1743774414062
2023-01-11,1099.2814636230469
2023-01-12,499.1815185546875
2023-01-13,450.2198791503906
2023-01-17,-117.4102783203125
2023-01-18,-1111.1788940429688
2023-01-19,-499.3104553222656
2023-01-20,1538.6602783203125
2023-01-23,1160.7611083984375
2023-01-24,-48.176116943359375
2023-01-25,23.81103515625
2023-01-26,941.3653564453125
2023-01-27,367.2642517089844
2023-01-30,-1235.9458923339844
2023-01-31,1249.2286682128906
2023-02-01,1284.3670654296875
2023-02-02,1500.5757141113281
2023-02-03,-1336.4068603515625
2023-02-06,-608.8577270507812
2023-02-07,1226.2065124511719
2023-02-08,-1022.1846008300781
2023-02-09,-824.7639465332031
2023-02-10,-49.0960693359375
2023-02-13,1021.0533142089844
2023-02-14,145.0140380859375
2023-02-15,289.1938781738281
2023-02-16,-1275.1806640625
2023-02-17,-274.2939758300781
2023-02-21,-1804.0444946289062
2023-02-22,-80.92117309570312
2023-02-23,519.2137145996094
2023-02-24,-1095.5876159667969
2023-02-27,399.64935302734375
2023-02-28,-187.23953247070312
2023-03-01,-285.5732727050781
2023-03-02,488.1016540527344
2023-03-03,1515.9257507324219
2023-03-06,-31.37298583984375
2023-03-07,-1299.986572265625
2023-03-08,190.098876953125
2023-03-09,-1339.6455383300781
2023-03-10,-871.4303588867188
2023-03-13,307.833251953125
2023-03-14,1326.7066955566406
2023-03-15,-92.6287841796875
2023-03-16,1539.9845886230469
2023-03-17,-458.9610290527344
2023-03-20,560.2241516113281
2023-03-21,885.7630920410156
2023-03-22,-1067.7102661132812
2023-03-23,550.5787658691552
2023-03-24,354.6504211425636
2023-03-27,-220.20675659179688
2023-03-28,-177.69363403320312
2023-03-29,1199.4332885742188
2023-03-30,644.2301940917969
2023-03-31,1212.0411682128906
2023-04-03,234.48638916015625
2023-04-04,-217.65274047851562
2023-04-05,-399.95208740234375
2023-04-06,308.47564697265625
2023-04-10,-56.621246337890625
2023-04-11,-69.81689453125
2023-04-12,-399.4309997558594
2023-04-13,1351.3291931152344
2023-04-14,-396.4572143554542
2023-04-17,149.68307495115732
2023-04-18,83.8671875
2023-04-19,-65.07247924804688
2023-04-20,-447.3381042480323
2023-04-21,-33.75473022462393
2023-04-24,55.334320068359375
2023-04-25,-1293.1471252441406
2023-04-26,-174.20120239257812
2023-04-27,1729.7709655761719
2023-04-28,711.119384765625
2023-05-01,-200.91079711914062
2023-05-02,-631.4450073242188
2023-05-03,-424.638671875
2023-05-04,-439.6873474121094
2023-05-05,1389.3687438964844
2023-05-08,66.32827758789062
2023-05-09,-349.166259765625
2023-05-10,571.4028930664062
2023-05-11,-64.4451904296875
2023-05-12,-242.85003662109375
2023-05-15,349.1264343261719
2023-05-16,-509.1957092285156
2023-05-17,970.5473327636719
2023-05-18,891.8820190429688
2023-05-19,-92.74200439453125
2023-05-22,112.43560791015625
2023-05-23,-960.4679870605469
2023-05-24,-654.6842956542969
2023-05-25,978.7353515625
2023-05-26,1476.2039184570312
2023-05-30,252.87490844726562
2023-05-31,-447.9243469238281
2023-06-01,968.2806396484375
2023-06-02,911.4894104003906
2023-06-05,-51.78131103515625
2023-06-06,188.89373779296875
2023-06-07,-804.4746398925781
2023-06-08,831.488037109375
2023-06-09,159.12261962890625
2023-06-12,1018.2638549804688
2023-06-13,527.6954650878906
2023-06-14,268.64013671875
2023-06-15,1202.81982421875
2023-06-16,-430.3758239746094
2023-06-20,-437.3577880859375
2023-06-21,-712.4803161621094
2023-06-22,410.39581298828125
2023-06-23,-711.4213562011719
2023-06-26,-592.3741149902344
2023-06-27,1109.0243530273438
2023-06-28,96.8011474609375
2023-06-29,129.71023559570312
2023-06-30,1220.5729675292969
2023-07-03,162.46017456054688
2023-07-05,-186.14379882811045
2023-07-06,-801.6537475586083
2023-07-07,-164.02587890625
2023-07-10,232.48672485351562
2023-07-11,610.5404663085938
2023-07-12,1037.6858520507812
2023-07-13,1055.296630859375
2023-07-14,-127.43011474609375
