Date,SPY,QQQ,GLD,BND,VTI
2021-04-01,37320.14465332031,25170.146484375,8098.999786376953,8642.70263671875,17506.137084960934
2021-04-05,37855.804443359375,25672.65869140625,8095.999908447266,8629.451293945312,17710.23834228516
2021-04-06,37833.447265625,25654.82177734375,8161.000061035156,8660.028076171875,17716.93450927734
2021-04-07,37877.23083496094,25716.86767578125,8137.999725341797,8649.835510253906,17701.87362670898
2021-04-08,38057.02819824219,25985.185546875,8225.499725341797,8669.200744628906,17804.76470947266
2021-04-09,38333.70971679688,26142.60986328125,8163.500213623047,8657.991027832031,17912.669677734375
2021-04-12,38347.6806640625,26108.486328125,8113.999938964844,8655.948486328125,17917.68905639648
2021-04-13,38461.34033203125,26413.24951171875,8171.4996337890625,8678.370666503906,17967.878723144528
2021-04-14,38329.986572265625,26096.0791015625,8136.000061035156,8672.258605957031,17927.730560302738
2021-04-15,38741.748046875,26491.57470703125,8267.500305175781,8708.948364257812,18118.449096679688
2021-04-16,38871.22497558594,26522.59765625,8317.500305175781,8685.509033203125,18164.459838867188
2021-04-19,38680.25512695313,26279.87060546875,8294.499969482422,8680.413208007812,18045.674285888672
2021-04-20,38397.05505371094,26088.32763671875,8323.999786376953,8694.680786132812,17880.04852294922
2021-04-21,38760.37292480469,26311.669921875,8406.500244140625,8703.850708007812,18093.350830078125
2021-04-22,38406.3720703125,25994.487304687496,8351.99966430664,8707.930297851562,17951.984252929688
2021-04-23,38822.78442382813,26321.748046875,8319.999694824219,8708.948364257812,18169.47647094727
2021-04-26,38903.83911132813,26493.13720703125,8341.999816894531,8702.831726074219,18235.561981201172
2021-04-27,38895.452880859375,26378.3642578125,8320.999908447266,8680.413208007812,18227.191772460934
2021-04-28,38884.27429199219,26289.17724609375,8345.500183105469,8684.489135742188,18224.684143066403
2021-04-29,39132.07092285156,26383.784179687496,8311.000061035156,8677.351684570312,18294.11224365234
2021-04-30,38874.95727539063,26210.84716796875,8283.000183105469,8689.583129882812,18160.272674560547
2021-05-03,38958.79211425781,26071.2646484375,8390.499877929688,8691.725463867188,18192.058868408203
2021-05-04,38718.45397949219,25602.09228515625,8329.000091552734,8702.956237792969,18055.71304321289
2021-05-05,38730.56945800781,25516.00830078125,8363.500213623047,8708.060302734375,18052.366333007812
2021-05-06,39039.84375,25708.3349609375,8502.999877929688,8712.144470214844,18144.37957763672
2021-05-07,39323.974609375,25916.93603515625,8579.499816894531,8713.162536621094,18298.293914794922
2021-05-10,38934.57946777344,25262.421875,8605.500030517578,8692.7490234375,18083.314819335934
2021-05-11,38587.09716796875,25227.52197265625,8606.999969482422,8675.395202636719,17937.766571044922
2021-05-12,37767.31262207031,24574.56787109375,8521.499633789062,8644.773559570312,17533.736114501953
2021-05-13,38220.98083496094,24764.55810546875,8556.500244140625,8662.124633789062,17726.969146728512
2021-05-14,38807.88269042969,25311.279296875,8634.500122070312,8682.541809082031,18029.779815673828
2021-05-17,38709.12780761719,25157.73193359375,8734.99984741211,8674.375305175781,17991.298828125
2021-05-18,38375.628662109375,24987.90283203125,8751.99966430664,8665.183410644531,17850.769958496097
2021-05-19,38275.02136230469,25016.591796875,8758.000183105469,8656.002502441406,17798.908996582028
2021-05-20,38686.77673339844,25500.50048828125,8798.00033569336,8684.58251953125,17992.139282226562
